titulo;nota_media;ranking;popularidade;capitulos;situacao;genero
The Greatest Estate Developer;90.5;1;65000;222;concluida;Fantasy
teste1;90.0;2;20000;23;em publicacao;teste
Eleceed;88.0;3;90000;250;em publicacao;Action
Omniscient Reader;87.0;4;130000;200;em publicacao;Action
Bastard;86.0;5;45000;94;concluida;Drama
Solo Leveling;85.0;6;200000;180;concluida;Action
Sweet Home;84.5;7;80000;140;concluida;Horror
Wind Breaker;83.0;8;70000;400;em publicacao;Sports
Tower of God;82.5;9;95000;550;em publicacao;Fantasy
Lookism;81.0;10;110000;450;em publicacao;Drama
True Beauty;80.5;11;150000;220;concluida;Romance
testes;40.0;12;200000;32;concluida;tste
